source,tour_name,tour_url,total_days,day_number,location,activity,price,scrape_date,state,city
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,1,Arrive Broome,"Arrive in Broome, where we meet you on arrival and transfer you to your hotel. The rest of the day is yours to enjoy at leisure. This evening, meet your fellow travellers at a relaxed welcome dinner.","A$10,775",2026-06-09,WA,Broome
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,2,"Gibb River Road, Windjana Gorge, Tunnel Creek","Leave Broome this morning and head to the Boab Prison Tree, believed to be 1,500 years old. Continue along the Gibb River Road to Windjana Gorge, where ancient marine fossils lay embedded in the gorge walls. Next, it's on to Tunnel Creek, which flows through Western Australia's oldest cave system. Wade through the cool waters that fill the tunnel and emerge on the other side to discover a serene oasis.","A$10,775",2026-06-09,WA,Kimberley
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,3,"Mimbi Caves, Purnululu National Park","This morning, travel towards Mimbi Caves and immerse yourself in culture on your Signature Experience. Afterwards, journey to Halls Creek before arriving at Purnululu National Park. Settle into your lodge before an alfresco dinner tonight. Signature Experience - Mimbi Caves Guided Tour The Gooniyandi people share a strong connection with Mimbi Caves and the surrounding country. It has been both home and a place of spiritual significance for thousands of years. Your guide will share traditional knowledge of local bush tucker, bush medicine and the native flora and fauna found around the cave system, as well as ancient Dreaming stories about the caves. The walls of the cave are abundant with marine fossils, layers of sedimentary limestone and richly coloured ochres that stain the walls. View ancient rock paintings, each of which has its own unique connection to the caves and local people.","A$10,775",2026-06-09,WA,Purnululu
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,4,"Purnululu National Park, Piccaninny Creek, Cathedral Gorge","A full day has been set aside for you to explore Purnululu National Park today, starting with a walk along Piccaninny Creek. This winding gorge is set deep within the Bungle Bungle Range, offering unparalleled views of the beehive domes. Your next stop is Cathedral Gorge, a natural red rock amphitheatre created by millions of years of water erosion. This spacious cavern is renowned for its acoustics, and you'll see why as you wander through it. You may like to experience an optional scenic helicopter flight over the domes. Signature Experience - Sunset Drinks at the Bungle Bungle Range End your day of discovery by watching the sunset over the Bungle Bungle Range. The massive beehive-shaped domes are cast in a golden glow at this time of day. Enjoy such an epic sight with a glass of bubbly in hand, of course. Enrich Your Experience - Bungle Bungle Helicopter Flight Experience breathtaking views of World Heritage-listed Purnululu National Park from above on a scenic helicopter flight (own expense).","A$10,775",2026-06-09,WA,Purnululu
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,5,"Purnululu National Park, Echidna Chasm, Kununurra","Set out on a hike to Echidna Chasm, a natural cleft in the rock that reaches a staggering 200 metres in height while only being one metre wide at certain points. Later, travel along the Spring Creek Track to Kununurra.","A$10,775",2026-06-09,WA,Purnululu
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,6,"Lake Argyle, Ord River, Kununurra","Travel to Lake Argyle and join a wildlife cruise on the mighty Ord River. From a modern shaded vessel, discover the area's ecological system that has developed from the damming of the Ord River at two locations. Later, enjoy the sunset while cruising on Lake Kununurra. Keep an eye out for wildlife and soak up the views as your boat makes its way through winding creeks and picturesque lagoons.","A$10,775",2026-06-09,WA,Kununurra
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,7,"Parry Lagoons, Wyndham, El Questro","Witness the breathtaking vistas of the Cambridge Gulf as you travel to Wyndham, where the Five Rivers Lookout offers an unparalleled panoramic view. Become immersed in the natural splendour of Parry Lagoons, and have lunch at Parry Creek Farm, serenaded by the melodious chorus of birdsong. Conclude your day by arriving at El Questro Wilderness Park, where your resort awaits, promising an unforgettable retreat amid untamed wilderness.","A$10,775",2026-06-09,WA,Wyndham
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,8,El Questro,"This morning, hike to Emma Gorge where you'll be rewarded with a swim beneath a towering droplet waterfall. Enjoy lunch at El Questro Station, before relaxing at Zebedee Springs. Enjoy dinner this evening back at Emma Gorge Resort. Signature Experience - Zebedee Springs Venture through a pre-historic forest of Livistona and pandanus palms before arriving at a true oasis, Zebedee Springs. This permanent natural thermal spring is tucked away in a secluded pocket of El Questro's wilderness. Enjoy time to relax as you soak in the hot springs and leave feeling refreshed.","A$10,775",2026-06-09,WA,El Questro
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,9,"Gibb River Road, Mitchell Plateau","Back on the Gibb River Road, ford the mighty Durack River, then turn off and travel north on the Kalumburu Road towards the isolated Mitchell Plateau. Along the way, stop at Drysdale River Station for lunch. Afterwards, enter a remote world of Livistona palm forests, panoramic lookouts, magnificent waterfalls and isolated swimming holes. Savour the enchanting Kimberley ambience as you dine under the vast night sky tonight.","A$10,775",2026-06-09,WA,Kimberley
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,10,Mitchell Falls,"Today, enjoy a full day to discover the beauty of Mitchell Falls, with its tiered waterfalls and Indigenous rock art. When available, local Indigenous guides will join the adventure. Begin with a guided hike to Little Mertens Falls to view rarely seen rock art. Continue to Big Mertens Falls before arriving at the incredible Mitchell Falls. Go for a swim in the pools above the falls then take an included helicopter flight over Mitchell Falls and the surrounding wilderness back to your 4WD vehicle. Signature Experience - Mitchell Falls Scenic Helicopter Flight Set out on a thrilling helicopter flight to see Mitchell Falls in all its splendour from above. By gaining a bird's-eye view of this remote region, you'll not only see this iconic four-tiered Kimberley attraction, but also the surrounding gorges, emerald water pools, and soaring red cliffs.","A$10,775",2026-06-09,WA,Mitchell Plateau
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,11,"Mitchell Plateau, King Edward River, Drysdale River Station","Following a special Signature Experience, enjoy a swim in the clear waters at King Edward River. Cross Drysdale River and arrive at Drysdale River Station. Signature Experience - Wandjina and Gwion Gwion (Bradshaw) Rock Art Admire ancient Wandjina and Gwion Gwion (Bradshaw) rock art that dates back thousands of years at a gallery in Mitchell Plateau. This artwork stakes a claim as some of the earliest figurative art, distinguished by its depiction of stick-like human figures.","A$10,775",2026-06-09,WA,Mitchell Plateau
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,12,"Manning Creek, Galvans Gorge, Gibb River Road","At Manning Creek, you'll enjoy lunch by the sandy banks. Look out for the region's bird life and enjoy a refreshing swim in the pristine water under paperbarks. Continue to Galvans Gorge, where a short walk leads to a picturesque waterhole, the ideal spot for a refreshing swim.","A$10,775",2026-06-09,WA,Kimberley
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,13,Bell Gorge,"Back on the Gibb River Road, travel to Bell Gorge, where spectacular cliffs surround a series of tiered waterholes. Should you be feeling particularly energetic, you may take the opportunity to hike to the lower pool of the gorge and enjoy a relaxing dip below the cascading waterfall.","A$10,775",2026-06-09,WA,Kimberley
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,14,"Wunaamin Miliwundi Ranges, Derby, Broome","Back on the Gibb River Road, travel through the Wunaamin Conservation Park to Derby, where you will visit an Art Centre displaying authentic Indigenous Australian artwork. Continue to Broome where you may like to enjoy a drink before a farewell dinner at your resort.","A$10,775",2026-06-09,WA,Kimberley
global_journeys,Kimberley Complete,https://www.globaljourneys.com/trip/apt-gkc15,15,15,Depart Broome,Your journey comes to an end today with a transfer to the airport for your onward flight.,"A$10,775",2026-06-09,WA,Broome
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,1,"Arrive Launceston, Beaconsfield","Welcome to Tasmania. On arrival, you'll be transferred to your hotel in Launceston. Enjoy a picturesque journey following the curves of the Tamar River on your way to today's Insider Experiences. Back at your hotel this evening, enjoy a Welcome Dinner. Insider Experience - Beaconsfield Mine and Heritage Centre Visit the gold mining town of Beaconsfield and take a guided tour of the Beaconsfield Mine and Heritage Centre. Step back in time and discover precious artefacts and interactive displays that help you gain a sense of what life was like during the gold rush. Insider Experience - James Boag's Brewery Enjoy canapés and a Welcome Drink at James Boag's Brewery, a historic brewery that's been in operation since 1881.","A$4,601",2026-06-09,TAS,Launceston
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,2,"Launceston, Bicheno","Drive through northern Tasmania's wine-producing area en route to an Insider Experience. Continue on to the seaside town of Bicheno, where you may like to see the fairy or little penguins. Insider Experience - Bridestowe Lavender Estate At Bridestowe Lavender Estate, enjoy a guided tour of the distillery and sample the unique lavender-inspired fare. Enhance Your Journey - Bicheno Penguins In Bicheno, choose to enjoy the chance to see the fairy or little penguins. (additional expense)","A$4,601",2026-06-09,TAS,Launceston
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,3,"Freycinet National Park, Orford","Home to pristine beaches, rugged landscapes and granite peaks, Freycinet is a place of breathtaking natural beauty. Explore the park and take in the stunning surrounds. Continue south to the seaside town of Orford and enjoy dinner overlooking Spring Bay. Insider Experience - Freycinet National Park Guided Tour Travel into Freycinet National Park to enjoy a walk with a naturalist guide.","A$4,601",2026-06-09,TAS,Freycinet
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,4,"Richmond, Port Arthur, Hobart","This morning, travel south to Richmond, home to the historic Richmond Bridge. Built by convicts in the 1820s, it is Australia's oldest bridge. On the way to Port Arthur, see how nature and time have created spectacular rock formations such as the Tessellated Pavement and Tasman Arch. At the Port Arthur Historic Site, join a cruise around the Isle of the Dead and hear haunting stories about the convicts buried there. Later, travel to Hobart. This small capital city sure packs a punch with an endless supply of dining, cultural and nature-based experiences available. Insider Experience - Port Arthur Historic Site Tour Embark on a guided tour of the Port Arthur Historic Site, once Australia's most notorious convict prison.","A$4,601",2026-06-09,TAS,Port Arthur
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,5,"Hobart, Salamanca Market","A fantastic array of art, handicrafts, food and oddities awaits you today at the Salamanca Market. Housing over 300 stalls, the market has plenty of goods on offer, from tantalising Tasmanian gin to hand-crafted jewellery. Enjoy your afternoon and evening at leisure. Enhance Your Journey - Bruny Island Adventure Experience As an alternative to today's touring, you might like to take an award-winning eco-cruise along the rugged Bruny Island coastline (additional expense). Enhance Your Journey - Hobart Convict Penitentiary Tour This afternoon, perhaps visit the Hobart Convict Penitentiary and discover its courtrooms, subterranean tunnels, cells and the prison exercise yard on a guided tour (additional expense).","A$4,601",2026-06-09,TAS,Hobart
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,6,"Hobart, Russell Falls, Lake St Clair, Strahan","Russell Falls is a jewel in the crown of Mt Field National Park. After a short walk to see the falls, marvel at the pristine shores of Lake St Clair. Travel by coach to the town of Strahan and enjoy a buffet dinner at View 42º Restaurant & Bar this evening.","A$4,601",2026-06-09,TAS,Hobart
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,7,"Strahan, Gordon River Cruise, Cradle Mountain","Begin your day with an Insider Experience. Rejoin your coach and journey through stirring landscapes bound for Cradle Mountain. Insider Experience - Spirit of the Wild Cruise Board the environmentally friendly Spirit of the Wild ship for a cruise across Macquarie Harbour, and enter World Heritage-listed Franklin-Gordon Wild Rivers National Park. Continue to the former penal colony of Sarah Island for a tour. Insider Experience - Cradle Mountain Hotel Stay Stay amid nature at Cradle Mountain Hotel, located just a stone's throw from Cradle Mountain-Lake St Clair National Park.","A$4,601",2026-06-09,TAS,Strahan
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,8,"Cradle Mountain, Smithton","Take in the serenity of Cradle Mountain-Lake St Clair National Park. From the ancient rainforest covered in a blanket of moss, to the deep river gorges and snow-covered mountain peaks, the park is world-renowned for its diverse and awe-inspiring landscapes. Visit Waldheim Chalet and stand on the shores of Dove Lake. Then, travel via Sheffield to Stanley, set in the shadow of The Nut. Insider Experience - Tall Timbers Dinner Sit down to a three-course farm-to-table dinner at Tall Timbers, featuring seasonal Tasmanian produce from high-quality meats to fresh seafood plucked from local waters.","A$4,601",2026-06-09,TAS,Cradle Mountain
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,9,"Smithton, Sheffield, Deloraine, Launceston","Following an Insider Experience, journey to Deloraine, then continue to Launceston, for a Farewell Dinner and Drink. Insider Experience - House of Anvers Tour Indulge in mouth-watering truffles, rich fudge and exquisite dark chocolate at House of Anvers. The factory utilises the region's finest ingredients to create a plethora of delectable treats.","A$4,601",2026-06-09,TAS,Launceston
global_journeys,Grand Tasman,https://www.globaljourneys.com/trip/travelmarvel-txt10,10,10,"Cataract Gorge, Depart Launceston","Visit Cataract Gorge, a unique natural formation only a stone's throw from Launceston. The natural history of the gorge, along the South Esk River, stretches back tens of millions of years. Your holiday comes to an end with a transfer to the airport.","A$4,601",2026-06-09,TAS,Launceston
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,1,Welcome to Hobart,"The Tasmanian capital of Hobart may be small in size, but it's big in attractions, as you'll discover this afternoon on a city tour. Put your destination into perspective from the summit of Mt. Nelson, offering endless vistas over Australia's southernmost city. View the charming Georgian cottages of Battery Point and convict-built warehouses along Salamanca Place, the backdrop of epic Saturday markets. Gaze over boats at Constitution Dock - this where yachts finish when competing in the annual Sydney to Hobart race, and take a stroll in the second oldest Botanical Gardens in Australia with its amazing collection of plants from around the world. Tonight, join your Travel Director for dinner.","A$4,277",2026-06-09,TAS,Hobart
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,2,Hobart - Strahan,"Western Tasmania is like nature amplified, a place where the wilderness rules and people are few and far between. Visiting Mount Field National Park is a humbling experience, not only for the fact it's part of the Tasmanian Wilderness World Heritage Area, but also because it's home to some of the tallest eucalypts and tallest flowering plants on Earth. Wander amid these giants to reach Russell Falls – take a deep breath; your Tasmania tour has begun. Records continue to be broken at Lake St. Clair, the deepest freshwater Lake in Australia, before you arrive in Strahan, gateway to World Heritage listed Franklin-Gordon Wild Rivers National Park.","A$4,277",2026-06-09,TAS,Hobart
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,3,Strahan - Cradle Mountain,"The inky waters of the Gordon River – given its colour by amber buttongrass tannins – are as eery as they are beautiful, the mirror-like surface only broken by your chariot out to Sarah Island. It's hard to reconcile the beauty of this part of the state with its grim history as a penal colony; a place where convicts would fell Huon pines for boat building. Thankfully, they didn't get to the 2,000-year-old pine that still stands proud at Heritage Landing. Early settlers didn't mince their words when they called the treacherous entrance to the river's harbour Hells Gates. You'll understand why when you drift past. Cradle Mountain awaits to the north. We're sure you'll be content by the fire perhaps with a glass of wine.","A$4,277",2026-06-09,TAS,Strahan
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,4,Cradle Mountain - Burnie,"Today your journey reaches new heights – quite literally with a visit to the 1,545-metre Cradle Mountain, your backdrop as you explore Dove Lake on your Cradle Mountain tour, the wild alpine moorlands here are natural magnet for lovers of the wilderness. The spectacular and pristine wilderness of Cradle Mountain is home to the mysterious and secretive Tasmanian Devil. You'll love the next adventure today, a MAKE TRAVEL MATTER® Experience. A Day Keeper tour at Devils @ Cradle will lead you through the sanctuary and provide you with a thorough insight into its operation. By joining this tour you will be directly supporting the conservation of this threatened species. Leave the Central Highlands after an uplifting day and head towards the scenic north-west coast for your overnight stay.","A$4,277",2026-06-09,TAS,Cradle Mountain
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,5,Burnie - Launceston,"Table Cape is by far Wynyard's most remarkable natural wonder, at 180 metres high, 'The Cape' - as locals refer to it - offers spectacular views of Tasmania's coastline. As you drive to the top of the remains of a 12-million-year-old volcano you'll reach Table Cape lookout where, on a clear day, you can see mountain ranges over 175 kilometres away. If there's a town with a cuter name than Penguin, we're yet to find it. Locals embrace its appeal – there are penguin sculptures at every turn, including one measuring over 3 metres tall. Your journey along the northwest coast also passes through Ulverstone and Sheffield, The Town of Murals, boasting over 100 large paintings depicting the area's rich history and local characters. All this exploring builds an appetite. Refuel at Ashgrove Tasmanian Farm, where happy cows contribute to award-winning cheeses – everything from cheddar and red Leicester to creamy Tasmanian blue. For lovers of sweeter delights, why not treat yourself to a delicious locally made ice cream (own expense).","A$4,277",2026-06-09,TAS,Launceston
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,6,Launceston,"There are few places in the world where you can leave the city behind and within minutes be surrounded by nature. Launceston is one. Blink and you're at Cataract Gorge, a yawning chasm carved by ancient rivers. This rare natural phenomenon unites bushland with neat Victorian gardens, replete with ferns and exotic plants. Get a different perspective of the green cavern on the scenic chairlift, zipping you over the water to a lofty lookout. We wouldn't blame you for lingering here, or perhaps this afternoon take one of the river cruises on offer (both own expense). The choice is yours.","A$4,277",2026-06-09,TAS,Launceston
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,7,Launceston - Bicheno,"You'll smell Bridestowe before you see it, this enormous lavender farm perfuming the Tasmanian countryside (bloom late Spring to early Summer). The flowers grown here aren't just used in fragrances – they're also infused into ice-cream, teas and jams. It's a tasty entrée to the Legerwood Carved Memorial Trees, sculpted into World War One soldiers. Little penguins come out to play in Bicheno; sign up to spot them after dark as they waddle to shore from the water (own expense).","A$4,277",2026-06-09,TAS,Launceston
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,8,Bicheno - Hobart,"Soak in the beauty of the breathtaking Freycinet Peninsula on your Tasmania tour that contributes to the preservation of its wildlife. Nothing quite prepares you for the drama of Freycinet National Park – the colours here seem more vivid, the air crisper, the water cleaner, the skies wider. A patchwork of ocean blues lap Coles Bay, framed by pink granite cliff faces. There's a reason why this place stars on postcards! The other destination on postcards is Richmond, its grand 1820s Georgian buildings today home to bijou boutiques, galleries and cafes that appear to be lost in time. Your last stop for the day is to the shores of the Derwent River where local palawa will welcome you to country and show off some local bush tucker.","A$4,277",2026-06-09,TAS,Bicheno
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,9,Port Arthur Historic Site,"The Isle of the Dead, Devil's Kitchen, Blowhole… the attractions at and around Port Arthur nod to the region's notoriously harsh history. This is the best-preserved convict site in Australia, and among the most significant convict-era destinations worldwide. The stories these walls could tell. Enjoy dinner tonight at a historic waterfront pub.","A$4,277",2026-06-09,TAS,Port Arthur
global_journeys,Tasmanian Wonders,https://www.globaljourneys.com/trip/aat-kings-fhlh,10,10,Farewell From Hobart,It took early explorers months to circumnavigate Tasmania. You've completed your Tasmania tour in just 10 days. What a wild ride.,"A$4,277",2026-06-09,TAS,Hobart
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,1,Arrive Perth,"Today your journey through Western Australia's beautiful South West begins on arrival at Perth Airport. Here, you'll be met by a Travelmarvel Tour Director and transferred to your hotel before setting out on a city tour. Then, enjoy a Welcome Dinner. Insider Experience - Stay at Pan Pacific Perth Savour a fantastic stay at Pan Pacific Perth, a premium hotel which boasts a terrific central location overlooking the Swan River.","A$6,855",2026-06-09,WA,Perth
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,2,"Perth, Swan Valley, Geraldton",Head off this morning to enjoy your Insider Experience in the Swan Valley before continuing to the coastal city of Geraldton. Insider Experiences - Bush Tucker Experience Visit the stunning Mandoon Estate and join Noongar Elder Dale Tilbrook for a bush tucker experience. Be immersed in the cultural tradition of storytelling as you sample an array of bush tucker.,"A$6,855",2026-06-09,WA,Perth
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,3,"Geraldton, Hamelin Pool, Monkey Mia","Visit the remarkable Shell Beach that's made up of endless tiny Shark Bay cockle shells. Visit Peron Heritage Precinct and learn about the pastoral days and operation of the shearing shed. Later, head to Monkey Mia at World Heritage-listed Shark Bay for today's Insider Experiences. Insider Experience - Monkey Mia Seafood Feast Indulge in a delicious dinner of locally sourced seafood amid the beautiful coastal landscape of Monkey Mia. This experience is sure to delight even the most discerning foodie. Insider Experience - Stay at RAC Monkey Mia Dolphin Resort Enjoy the stunning location of RAC Monkey Mia Dolphin Resort, where you can meet the friendly resident dolphins, uncover an underwater wonderland thanks to breathtaking snorkelling spots, or laze out on the sugar-white beach with your holiday read.","A$6,855",2026-06-09,WA,Geraldton
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,4,Monkey Mia,"Today, visit one of the best places for dolphin interaction. At Monkey Mia, you'll enjoy a rare up-close encounter with these clever mammals at the daily dolphin feeding experience (subject to appearance). Then, enjoy today's Insider Experience before spending the rest of the day at your leisure. Insider Experience - Shark Bay Wildlife Cruise Unwind as you set sail on a wildlife cruise on Shark Bay, a World Heritage-listed marine wonderland. Glide across the turquoise waters in search of dugongs, sponging dolphins, manta rays and other rare and endangered marine life in their natural habitat. Enhance Your Journey - Didgeridoo Dreaming Night Tour Gather around the campfire and savour fresh seafood or bush tucker under the stars while listening to the ancient song of the didgeridoo (additional expense).","A$6,855",2026-06-09,WA,Monkey Mia
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,5,"Monkey Mia, Kalbarri Skywalk","Travel to the small town of Denham and visit the Shark Bay Interpretive Centre before heading south to explore the spectacular Kalbarri National Park, where around 800 species of wildflowers bloom in the spring. Visit the Kalbarri Skywalk for incredible views of the stunning gorge and surrounding environment.","A$6,855",2026-06-09,WA,Monkey Mia
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,6,"The Pinnacles, Perth","Travel to Nambung National Park, home to the iconic Pinnacles. Marvel at the surreal landscape as you wander among the towering limestone pillars, some reaching up to 3.5 metres in height. These ancient structures, sculpted over thousands of years by erosion, rise dramatically from the golden sands, creating an otherworldly scene that feels like something out of a dream. Explore the area, keeping an eye out for native wildlife, before returning to Perth.","A$6,855",2026-06-09,WA,Perth
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,7,"Perth, York, Wave Rock","Set out across the stunning Darling Ranges on the way to the charming town of York. Here, enjoy today's Insider Experience. Then, continue to Hyden to see the incredible granite cliff formation of Wave Rock. Insider Experience - York Town Historic Tour Enjoy a tour of the historic town of York, Western Australia's first inland settlement. Explore the colonial architecture of the well-preserved buildings, from the Town Hall to the churches, before passing colourful open gardens that are vibrant with wildflowers and birdlife.","A$6,855",2026-06-09,WA,Perth
global_journeys,Wonders of the South West,https://www.globaljourneys.com/trip/travelmarvel-tsw14,14,8,"Coolgardie, Kalgoorlie","Journey to Coolgardie, the site of Western Australia's original gold rush. Continue to Kalgoorlie, where more than half of the gold mined in Australia is sourced, and uncover the rich history of the city's mining heritage at the Museum of the Goldfields. Then, take a town tour of Boulder and visit the Super Pit Lookout, where you may get to see a working mine site in action.","A$6,855",2026-06-09,WA,Kalgoorlie
