source,source_type,tour_name,tour_url,total_days,day_number,location,activity,scrape_date,state,city,city_type,location_tokens,place_tags,activity_tags,theme_tags,all_keywords,keyword_count,has_content
australia_com,Reference,Sit down for dinner,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,1,Cairns,"Take a dip in the lagoon. Join the locals with a swim in the refreshing saltwater swimming lagoon located along the Cairns Esplanade. There’s a café onsite where you can grab your morning coffee, and the ocean views are simply beautiful. | Go shopping at Rusty’s Markets. A local institution, Rusty’s Markets boasts over 180 colourful stalls selling exotic fruits, flowers, freshly baked breads, seafood and more. Beyond food, you’ll find local fashion and jewellery. | Grab lunch at Caffiend. Get ready for a foodie fix at Caffiend, a trendy café with a focus on seasonal ingredients. Except dishes like truffle mushrooms, slow-cooked braised beef and a classic Aussie ‘big brunch’ – with free-range eggs, glazed bacon and, of course, avocado. | Explore Palm Cove. Palm Cove is a beachside paradise of fine dining, palm-fringed ocean and barefoot luxury. Choose your own adventure here; you can hire a kayak and paddle right off the beach, book a waterside restaurant and relax beneath a tumbling waterfall. | Sit down for dinner. Seafood and good vibes are on the menu in Cairns. The town’s coastal location makes for an epic backdrop, and chefs serve up everything from casual fish and chips to South-east Asian-inspired dishes. One thing’s for sure – you won’t leave hungry.",2026-06-02,QLD,Cairns,city,Cairns,Caffiend; Cairns; Cairns Esplanade; Palm Cove; Rusty’s Markets; South-east,,Nature & Scenery; Beach & Coast; Food & Wine; City & Shopping,Beach & Coast; Caffiend; Cairns; Cairns Esplanade; City & Shopping; Food & Wine; Nature & Scenery; Palm Cove; Rusty’s Markets; South-east,10,True
australia_com,Reference,Take the Kuranda Scenic Railway,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,2,Day trip to Kuranda,"See the sights from a gondola. Hop on the Kuranda Skyrail to soar over the world’s oldest tropical rainforest. The Daintree Rainforest canopy will pass below you, but you can stop along the way to seek out waterfalls, fern gardens and giant trees. | Meet the furry locals. As the name suggests, the Kuranda Koala Gardens have one of the cutest Aussie animals – koalas. But there are many more mates to meet, like quokkas, wombats and wallabies. You might even discover something totally new, like the potoroo. | Feel the flutter of butterflies. More than 1,200 butterflies live in the Australian Butterfly Sanctuary . You’ll get to wander through the gardens and along boardwalks as the bright butterflies glide gently around you. It’s simply enchanting. | Learn about rainforest culture. An immersive cultural experience awaits at Rainforestation Nature Park . Local Indigenous Pamagirri guides will share with you their ancient traditions that have been kept alive for 65,000 years. Expect dance performances and hands-on learning. | Take the Kuranda Scenic Railway. Return to Cairns via the Kuranda Scenic Railway . Hop aboard the heritage train and snake your way through the beauty of the ancient rainforest, taking in waterfalls and gorges along the way.",2026-06-02,QLD,Kuranda,city,Day trip to Kuranda,Australian Butterfly Sanctuary; Butterfly Sanctuary; Cairns; Daintree; Day trip to Kuranda; Kuranda Koala Gardens; Kuranda Scenic Railway; Rainforestation Nature Park,,Nature & Scenery; Hiking & Walks; Wildlife; Culture & History,Australian Butterfly Sanctuary; Butterfly Sanctuary; Cairns; Culture & History; Daintree; Day trip to Kuranda; Hiking & Walks; Kuranda Koala Gardens; Kuranda Scenic Railway; Nature & Scenery; Rainforestation Nature Park; Wildlife,12,True
australia_com,Reference,Picnic on a deserted cay,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,3,Great Barrier Reef,"Book a snorkelling tour. A day cruise is the perfect introduction to the Great Barrier Reef. Visit the outer reef with Quicksilver , Sailaway or Reef Magic to see incredible corals and an array of colourful fish. This is an underwater world like you’ve never seen. | Take a scenic flight. Is the Great Barrier Reef even more impressive from above? You be the judge. Board a scenic helicopter flight with Nautilus Aviation to admire the swirling blues and greens of the reef from the sky. Extend your flight to include the nearby rainforest. | Skydive over the beach. If you’re a thrill-chaser, then skydiving above the reef needs to be on your bucket list. Skydiving views don’t get better than this; you’ll have the Great Barrier Reef on one side and the Daintree Rainforest on the other. | Picnic on a deserted cay. A white-sand beach, a Champagne breakfast and a scenic flight – what more could you ask for? When you touch down on Vlasoff Cay , it’s like stepping into a postcard. The turquoise waters will be calling out to you for a refreshing dip.",2026-06-02,QLD,Great Barrier Reef,region,Great Barrier Reef,Daintree; Daintree Rainforest; Great Barrier Reef; Skydive,,Nature & Scenery; Beach & Coast,Beach & Coast; Daintree; Daintree Rainforest; Great Barrier Reef; Nature & Scenery; Skydive,6,True
australia_com,Reference,Stay in Port Douglas,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,4,Cairns to Port Douglas,"Visit the Mossman Gorge Centre. Begin your exploration of the Daintree at the Mossman Gorge Centre . You can take a self-guided walk through the verdant green forest, or opt for a guided Ngadiku Dreamtime Walk, led by the local Indigenous community. | Go on a cultural tour. Tens of thousands of years of history live within the rainforest. Join a Kuku Yalanji guide to share in their knowledge as you attempt to spear mud crabs and gather native ingredients straight from the forest. It’s a day you won’t soon forget. | Float down a rainforest river. There’s perhaps nothing more relaxing than floating down an ancient river as green palm trees pass by overhead. Equipped with an inflatable river sled, you’ll float your way through the thick forest, paddling through calm water and faster currents. | Visit an Indigenous art gallery. Janbal Gallery is more than a collection of Aboriginal art. It’s also a hands-on introduction into the special artistic practices of the local Aboriginal people. Book a painting and storytelling experience, then browse the gallery for an epic souvenir. | Stay in Port Douglas. Spend the night in Port Douglas. Choose between the many accommodation options , including beach clubs, nature escapes and luxury lodges. Head down Macrossan Street for your choice of delicious restaurants.",2026-06-02,QLD,Cairns,city,Cairns to Port Douglas,Cairns; Cairns to Port Douglas; Daintree; Macrossan; Mossman Gorge; Mossman Gorge Centre; Port Douglas,Ngadiku Dreamtime Walk,Nature & Scenery; Hiking & Walks; Beach & Coast; Food & Wine; Culture & History,Beach & Coast; Cairns; Cairns to Port Douglas; Culture & History; Daintree; Food & Wine; Hiking & Walks; Macrossan; Mossman Gorge; Mossman Gorge Centre; Nature & Scenery; Ngadiku Dreamtime Walk; Port Douglas,13,True
australia_com,Reference,Enjoy dinner in Perth,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,5,Port Douglas to Perth via Cairns,"Take a walk around Kings Park. Stretch your legs after your flight with a stroll around Kings Park . It’s one of the world’s largest inner-city parks and offers views over the Swan River and city skyline. Be sure to check out the Western Australian Botanic Garden. | Visit a museum or gallery. No matter your passion, Perth will have a museum , gallery or theatre to suit. Discover maritime history, Aboriginal art, modern exhibitions and grand theatres. The WA Museum Boola Bardip even has a blue whale skeleton that took three years to prepare. | Enjoy dinner in Perth. As a multicultural city, Perth has plenty of exciting options for a meal. Discover one of the city’s best restaurants , from charming diners to restaurants with a view. Like the rest of Australia, Perth prides itself on deliciously fresh ingredients.",2026-06-02,QLD,Port Douglas,city,Port Douglas to Perth via Cairns,Cairns; Kings Park; Perth; Port Douglas; Port Douglas to Perth via Cairns; Swan River; WA Museum Boola Bardip; Western Australian Botanic Garden,,Hiking & Walks; Wildlife; Food & Wine; Culture & History; City & Shopping,Cairns; City & Shopping; Culture & History; Food & Wine; Hiking & Walks; Kings Park; Perth; Port Douglas; Port Douglas to Perth via Cairns; Swan River; WA Museum Boola Bardip; Western Australian Botanic Garden; Wildlife,13,True
australia_com,Reference,Discover the Aboriginal history,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,6,Perth,"Visit the port city of Fremantle. Arriving in Fremantle , a 30-minute drive from Perth, is like going back in time. It boasts one of the best-preserved 19th century port streetscapes in the world. In addition to the history, there’s also great restaurants and breweries. | Take the ferry to Rottnest. From the port in Fremantle, take the ferry to Rottnest Island; be sure to book your ticket ahead of time. The journey only takes about 25 minutes, and you’ll be blown away when you arrive. Beaches, coves and wildlife await. | Explore the clear blue waters. Rottnest Island is home to some truly spectacular beaches . Pinky Beach and The Basin are both popular swimming spots, but for a bit more isolation, try Little Armstong Bay. At many beaches, coral gardens are just a short swim offshore. | Meet a quokka. The superstar of Rottnest Island is the quokka , a cute marsupial known for its charming smile. Remember that quokkas are wild animals, so always respect their space and never feed them. Quokkas are best seen in the late afternoon. | Eat lobster on a seafood cruise. Floating in beautiful blue waters with a seafood feast in front of you – lunchtime doesn’t get much better than that. Book with Rottnest Cruises and you’ll get to pull your own lobster from the ocean before enjoying a long, relaxed lunch. | Discover the Aboriginal history. The local Aboriginal name for Rottnest Island is Wadjemup, and the connection between the local Noongar people and Wadjemup pre-dates the last ice age. Take a tour with GoCultural to learn about the history and practices from your Aboriginal guide.",2026-06-02,QLD,Perth,city,Perth,Basin; Fremantle; Little Armstong Bay; Perth; Pinky Beach; Rottnest Island,,Nature & Scenery; Beach & Coast; Wildlife; Food & Wine; Culture & History; City & Shopping,Basin; Beach & Coast; City & Shopping; Culture & History; Food & Wine; Fremantle; Little Armstong Bay; Nature & Scenery; Perth; Pinky Beach; Rottnest Island; Wildlife,12,True
australia_com,Reference,Stay at Sal Salis,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,7,Perth to Exmouth,"Dive with whale sharks. From March to August each year, the world’s biggest fish congregate along Ningaloo Reef. Whale sharks are gentle giants, so swimming with them is an unforgettable experience. Tours here adhere to strict animal welfare guidelines. | Go sea kayaking. Sea turtles, rays, colourful fish – just a few of the exciting sights on a sea kayak tour with Exmouth Adventure Co . Join your local guide as you paddle within sheltered water. You’ll have a snorkel on board for exploring the incredible marine life found in these protected waters. | Snorkel with manta rays. With a wingspan of up to four metres (13ft), huge manta rays are another famous visitor to Ningaloo Reef. Drive about 1.5 hours to Coral Bay for a half-day tour to swim alongside these graceful animals. | Visit Cape Range National Park. The nature present in Cape Range National Park is the kind that makes your jaw drop. Deep canyons, limestone ranges and craggy cliffs are surrounded by pristine beaches. There's plenty of wildlife here, too, like emus and red kangaroos. | Hike Charles Knife Canyon. One of Cape Range’s highlights is Charles Knife Canyon. The views here are incredible, with several scenic lookouts to stop at marvel. Join Ningaloo Safari Tours to explore with the experts. | Stay at Sal Salis. For a luxury experience in Exmouth, look no further than Sal Salis . These 16 safari tents are tucked into the sand dunes just behind Ningaloo Reef. Fall asleep to the sound of the waves, and wake up to the bright blue waters of the reef.",2026-06-02,QLD,Perth,city,Perth to Exmouth,Cape Range; Cape Range National Park; Coral Bay; Exmouth; Ningaloo Reef; Perth; Perth to Exmouth,Join Ningaloo Safari,Nature & Scenery; Hiking & Walks; Beach & Coast; Wildlife,Beach & Coast; Cape Range; Cape Range National Park; Coral Bay; Exmouth; Hiking & Walks; Join Ningaloo Safari; Nature & Scenery; Ningaloo Reef; Perth; Perth to Exmouth; Wildlife,12,True
australia_com,Reference,Wander around Elizabeth Quay,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,9,Exmouth to Perth,"Go shopping along William Street. William Street in the suburb of Northbridge is a great place for some boutique shopping. Stroll along to find independent Aussie designers and vintage shops. You’re sure to find the perfect souvenir. | Kick back at Cottesloe Beach. Cottesloe Beach , or ‘Cott’ if you ask a local, is one of the city’s most popular swimming spots. But it’s not just a swim on offer here; snorkelling, surfing, oceanfront dining and a swath of white sand all await. | Hit up the small bar scene. Perth boasts a small bar scene worth exploring. Laneways, rooftops and street corners are chock full of buzzing bars where you can join the locals for a cold one. Hit the city’s favourite haunts with a tour from Two Feet & a Heartbeat . | Climb Optus Stadium. Want to see one of the best views of Perth’s skyline? Embark on a walk along the roof of Optus Stadium . This is a must-do experience for sports lovers, with behind-the-scenes commentary on all the action that happens on the field below. | Wander around Elizabeth Quay. Perth’s premier waterfront precinct, Elizabeth Quay is a great spot for an evening stroll. Grab a river cruise from the banks of the Swan River to see the city from a new angle or drop into one of the many bars and restaurants.",2026-06-02,QLD,Exmouth,city,Exmouth to Perth,Climb Optus Stadium; Cottesloe Beach; Exmouth; Exmouth to Perth; Northbridge; Optus Stadium; Perth; Swan River; William Street,,Hiking & Walks; Beach & Coast; Food & Wine; City & Shopping,Beach & Coast; City & Shopping; Climb Optus Stadium; Cottesloe Beach; Exmouth; Exmouth to Perth; Food & Wine; Hiking & Walks; Northbridge; Optus Stadium; Perth; Swan River; William Street,13,True
australia_com,Reference,Pick up sweet treats,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-day-coast-to-coast-itinerary.html,10,10,Day trip to Swan Valley,"Stroll around town. Make a stop in Guildford – one of only three towns in Australia classified as a historic town. Take a self-guided walk to appreciate the heritage buildings, bakeries, antique shops and bed and breakfasts. | Indulge in a few wine tastings. The Swan Valley punches above its weight when it comes to wine. Head to the tasting bench at pioneers like Sandalford Wines and Mandoon Estate , and don’t miss the boutique drops at Ugly Duckling Wines . | Pick up sweet treats. The valley offers all manner of gourmet treats. Stop by The House of Honey for delicious raw honey straight from the hives. Then, head to Mondo Nougat for a factory experience, where you’ll see the secrets of the trade from a special viewing area.",2026-06-02,QLD,Brisbane,city,Day trip to Swan Valley,Day trip to Swan Valley; Guildford; Pick; Swan Valley; The Swan Valley; Ugly Duckling Wines,,Hiking & Walks; Food & Wine; Culture & History; City & Shopping,City & Shopping; Culture & History; Day trip to Swan Valley; Food & Wine; Guildford; Hiking & Walks; Pick; Swan Valley; The Swan Valley; Ugly Duckling Wines,10,True
australia_com,Reference,Have a nightcap at a hidden bar,https://www.australia.com/content/australia/en/trips-and-itineraries/brisbane-and-surrounds/10-days-of-shopping-design-and-art.html,10,1,Brisbane City and South Bank,"Shop at Queen Street Mall. Begin your day at the pedestrian-only Queen Street Mall to visit everything from urban fashion boutiques to major department stores. Be sure to check out the historic Brisbane Arcade and its grand art-deco architecture. | Ponder thought-provoking exhibitions. Venture to the city’s heritage-listed City Hall. Here, you can browse boundary-pushing interactive multimedia works at the fascinating Museum of Brisb ane . Afterwards, take a tour of the building’s clock tower for sweeping views of the city skyline. | Experience the city’s cultural precinct. Follow the Kurilpa Bridge to explore South Bank’s vast collection of museums and art galleries . Let your mind wander at the Queensland Art Gallery and Gallery of Modern Art (QAGOMA), the Queensland Museum and the Queensland Performing Arts Centre. | Stay at the chic Calile hotel. Check into the Palm Springs-esque Calile – Brisbane’s first 'urban resort.' Expect palm trees, plush cabanas, white brick and concrete. Book dinner at the hotel’s in-house restaurant, Hellenika, which serves modern Greek food on the picturesque pool deck. | Have a nightcap at a hidden bar. Settle in for a tipple or two at Savile Row cocktail bar, hidden behind an orange door in the heart of Fortitude Valley. The moody ambience and eclectic decor – which oozes history and tradition – create a memorable late-night experience.",2026-06-02,QLD,Brisbane,city,Brisbane City and South Bank,Brisbane; Brisbane Arcade; Brisbane City; Brisbane City and South Bank; Fortitude Valley; Gallery of Modern Art; Kurilpa Bridge; Museum of Brisb ane; Palm Springs; Queen Street Mall; Queensland Art Gallery; Queensland Museum; Queensland Performing Arts Centre; Savile Row; South Bank,,Nature & Scenery; Hiking & Walks; Food & Wine; Culture & History; City & Shopping,Brisbane; Brisbane Arcade; Brisbane City; Brisbane City and South Bank; City & Shopping; Culture & History; Food & Wine; Fortitude Valley; Gallery of Modern Art; Hiking & Walks; Kurilpa Bridge; Museum of Brisb ane; Nature & Scenery; Palm Springs; Queen Street Mall; Queensland Art Gallery; Queensland Museum; Queensland Performing Arts Centre; Savile Row; South Bank,20,True
